GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tp2,aed,Handle,0,9,0,0,0,4,0,2,0,2
tp2,aed,Transaccion,3,94,6,14,1,24,6,12,0,8
tp2,aed,Bloque,2,169,5,13,2,36,5,10,0,6
tp2,aed,Berretacoin,17,347,8,50,6,69,8,30,0,9
tp2,aed,Usuario,5,54,1,7,2,19,2,9,1,6
tp2,aed,Heap,11,285,3,29,5,63,3,22,0,9
tp2,aed.t3,ListaEnlazada.ListaIterador,79,0,14,0,19,0,12,0,5,0
tp2,aed.t3,ListaEnlazada.Nodo,0,15,0,0,0,5,0,1,0,1
tp2,aed.t3,ListaEnlazada,129,114,13,11,36,37,15,11,8,6
